home_team,away_team,bet,country,date,is_correct,season,coef,chance,value
CF Fuenlabrada,CD Leganés,1,spain laliga2,2021-10-10 16:15:00,False,2021-2022,2.82,0.3358607334232012,0.9471272682534274
AD Alcorcón,Burgos CF,3,spain laliga2,2021-10-10 16:15:00,True,2021-2022,2.56,0.3658116480911768,0.9364778191134125
AD Alcorcón,Burgos CF,0,spain laliga2,2021-10-10 16:15:00,False,2021-2022,3.24,0.286316781245508,0.927666371235446
AD Alcorcón,Burgos CF,1,spain laliga2,2021-10-10 16:15:00,False,2021-2022,2.83,0.3478715706633152,0.9844765449771821
CD Tenerife,SD Amorebieta,3,spain laliga2,2021-10-10 16:15:00,True,2021-2022,1.55,0.5983871963880479,0.9275001544014744
CD Tenerife,SD Amorebieta,0,spain laliga2,2021-10-10 16:15:00,False,2021-2022,7.08,0.15309798597182106,1.0839337406804932
CD Tenerife,SD Amorebieta,1,spain laliga2,2021-10-10 16:15:00,False,2021-2022,3.79,0.24851481764013095,0.9418711588560963
GD Chaves,FC Penafiel,3,portugal liga-portugal-2,2021-10-10 18:00:00,True,2021-2022,2.15,0.4232210980245447,0.9099253607527711
GD Chaves,FC Penafiel,0,portugal liga-portugal-2,2021-10-10 18:00:00,False,2021-2022,3.26,0.2688765215070497,0.8765374601129821
GD Chaves,FC Penafiel,1,portugal liga-portugal-2,2021-10-10 18:00:00,False,2021-2022,3.39,0.3079023804684055,1.0437890697878947
CF Estrela Amadora SAD,Académico Viseu FC,3,portugal liga-portugal-2,2021-10-10 18:30:00,True,2021-2022,2.24,0.3873519820454598,0.8676684397818301
CF Estrela Amadora SAD,Académico Viseu FC,0,portugal liga-portugal-2,2021-10-10 18:30:00,False,2021-2022,3.08,0.30402258409266486,0.9363895590054078
CF Estrela Amadora SAD,Académico Viseu FC,1,portugal liga-portugal-2,2021-10-10 18:30:00,False,2021-2022,3.3,0.3086254338618754,1.0184639317441888
Bourg-en-Bresse Péronnas 01,CS Sedan-Ardennes,3,france national,2021-10-11 18:45:00,False,2021-2022,1.55,0.5964799111879805,0.9245438623413698
